id,host_response_rate,accommodates,bathrooms,beds,bedrooms,price,review_scores_rating,number_of_reviews,number_of_amenities,host_response_time_a few days or more,host_response_time_missing,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_is_superhost_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Aparthotel,property_type_Apartment,property_type_Barn,property_type_Bed and breakfast,property_type_Boat,property_type_Boutique hotel,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Cottage,property_type_Dome house,property_type_Guest suite,property_type_Guesthouse,property_type_Hostel,property_type_Hotel,property_type_House,property_type_Houseboat,property_type_Loft,property_type_Other,property_type_Serviced apartment,property_type_Tiny house,property_type_Townhouse,property_type_Villa,property_type_Yurt,instant_bookable_t,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period
3083,4.51085950651685,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.189654742026425,2.3978952727983707,3.5553480614894135,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5739,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.61512051684126,0.6931471805599453,5.429345628954441,31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11022,4.61512051684126,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.955827057601261,1.791759469228055,4.795790545596741,37,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13291,4.61512051684126,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.2626798770413155,1.9459101490553132,4.07753744390572,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24916,4.51085950651685,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.0,4.5217885770490405,2.3978952727983707,4.6443908991413725,34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25473,5.830390887760672,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.955827057601261,0.0,2.9444389791664403,35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29521,4.61512051684126,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.0986122886681098,5.017279836814924,2.0794415416798357,3.5263605246161616,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30026,4.51085950651685,1.0986122886681098,0.9162907318741551,1.0986122886681098,1.0986122886681098,5.111987788356544,1.3862943611198906,0.6931471805599453,16,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31573,4.51085950651685,1.791759469228055,0.9162907318741551,1.3862943611198906,1.3862943611198906,5.278114659230517,2.3978952727983707,4.68213122712422,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36702,4.61512051684126,1.6094379124341003,0.6931471805599453,1.3862943611198906,1.0986122886681098,4.709530201312334,1.3862943611198906,3.091042453358316,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
42633,4.61512051684126,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.912023005428146,2.1972245773362196,2.8903717578961645,25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43343,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,5.5053315359323625,0.0,3.1780538303479458,39,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45870,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.543294782270004,2.0794415416798357,3.6888794541139363,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46787,4.61512051684126,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.2626798770413155,1.0986122886681098,2.833213344056216,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55255,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.51085950651685,1.0986122886681098,6.07073772800249,33,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
56273,5.830390887760672,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.189654742026425,0.0,1.0986122886681098,21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
62214,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.23410650459726,1.3862943611198906,5.733341276897746,14,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82024,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.787491742782046,1.0986122886681098,5.3612921657094255,19,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85974,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,5.003946305945459,1.3862943611198906,5.365976015021851,20,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87259,5.830390887760672,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.867534450455582,2.1972245773362196,3.1354942159291497,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
135004,4.61512051684126,1.6094379124341003,0.6931471805599453,0.0,1.0986122886681098,5.420534999272286,3.044522437723423,0.6931471805599453,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
