,property_type,Entire home/apt,Private room,Shared room
price,Aparthotel,NaC,149.5,NaC
price,Apartment,127.36923076923077,77.75688073394495,47.68181818181818
price,Barn,150.0,NaC,NaC
price,Bed and breakfast,500.0,85.88888888888889,NaC
price,Boat,217.0,NaC,NaC
price,Boutique hotel,NaC,149.0,NaC
price,Bungalow,142.71428571428572,69.85185185185185,NaC
price,Cabin,100.0,78.33333333333333,NaC
price,Camper/RV,76.8,77.33333333333333,NaC
price,Chalet,351.0,85.0,NaC
price,Condominium,141.77142857142857,81.0,28.176470588235293
price,Cottage,129.75,85.0,28.0
price,Dome house,NaC,85.0,NaC
price,Guest suite,122.33168316831683,79.6,NaC
price,Guesthouse,106.71232876712328,68.85714285714286,NaC
price,Hostel,51.0,40.333333333333336,NaC
price,Hotel,NaC,129.0,NaC
price,House,226.7302725968436,72.0099573257468,37.0859375
price,Houseboat,120.0,NaC,NaC
price,Loft,203.97222222222223,84.28571428571429,91.4
price,Other,157.5,100.0,NaC
price,Serviced apartment,220.5,60.0,NaC
price,Tiny house,115.66666666666667,42.0,NaC
price,Townhouse,175.47619047619048,81.23076923076923,NaC
price,Villa,1406.25,129.66666666666666,NaC
price,Yurt,NaC,50.0,NaC
